Ref_ID,ETL_stack_sequence,ETL_thickness,ETL_deposition_procedure
1,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
2,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
3,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
4,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
5,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
6,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
7,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
8,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
9,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
10,TiO2-c | TiO2-nw,nan | 400.0,CBD | Hydrothermal
11,TiO2-c | TiO2-nw,nan | nan,CBD | Hydrothermal
12,TiO2-c | TiO2-nw,nan | 350.0,CBD | Hydrothermal
13,TiO2-c | TiO2-np,nan | nan,Spin-coating | Spin-coating
14,TiO2-c | TiO2-np,nan | nan,Spin-coating | Spin-coating
15,TiO2-c | TiO2-np,nan | nan,Spin-coating | Spin-coating
16,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
17,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
18,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
19,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
20,TiO2-c,,Spin-coating
21,TiO2-c,,Spin-coating
22,TiO2-c,80,CBD
23,TiO2-c,80,CBD
24,TiO2-c,80,CBD
25,TiO2-c,80,CBD
26,TiO2-c,80,CBD
27,TiO2-c,80,CBD
28,TiO2-c,,Spin-coating
29,TiO2-c,,Spin-coating
30,TiO2-c,,Spin-coating
31,TiO2-c,,Spin-coating
32,TiO2-c,,Spin-coating
33,TiO2-c,,Spin-coating
34,PCBM-60,,Spin-coating
35,PCBM-60,,Spin-coating
36,PCBM-60,,Spin-coating
37,PCBM-60,,Spin-coating
38,PCBM-60,,Spin-coating
39,PCBM-60,,Spin-coating
40,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
