NO,Perovskite Thickness,ETL Thickness,Provskite Bandgap,ETL Bandgap,Voc ,Jsc ,FF ,eta ,V_MPP ,J_MPP 
,4.89E-01,2.25E-01,1.65E+00,3.50E+00,0.819465,20.5575692,80.6468,13.5859,0.706647,19.22589559
,4.89E-01,2.36E-01,1.65E+00,3.20E+00,0.81914,20.3833338,80.6433,13.4649,0.706341,19.06282336
,4.89E-01,2.36E-01,1.65E+00,3.35E+00,0.819339,20.49034781,80.6452,13.5392,0.706528,19.16294511
,4.89E-01,2.36E-01,1.65E+00,3.50E+00,0.819459,20.55439462,80.6467,13.5837,0.706641,19.22291981
,4.89E-01,2.46E-01,1.65E+00,3.20E+00,0.819123,20.37448748,80.6431,13.4587,0.706325,19.05453444
,4.89E-01,2.46E-01,1.65E+00,3.35E+00,0.819329,20.48506747,80.645,13.5355,0.706518,19.15799587
,4.89E-01,2.46E-01,1.65E+00,3.50E+00,0.819453,20.55126911,80.6466,13.5815,0.706635,19.21998987
,4.89E-01,2.57E-01,1.65E+00,3.20E+00,0.819107,20.36581513,80.6429,13.4527,0.70631,19.04640783
,4.89E-01,2.57E-01,1.65E+00,3.35E+00,0.819319,20.47988194,80.6449,13.5319,0.706509,19.15313518
,4.89E-01,2.57E-01,1.65E+00,3.50E+00,0.819447,20.54819167,80.6465,13.5794,0.70663,19.21710481
,4.89E-01,2.68E-01,1.65E+00,3.20E+00,0.81909,20.35731253,80.6426,13.4467,0.706294,19.03843958
,4.89E-01,2.68E-01,1.65E+00,3.35E+00,0.81931,20.47478903,80.6447,13.5283,0.7065,19.14836095
,4.89E-01,2.68E-01,1.65E+00,3.50E+00,0.819441,20.54516136,80.6464,13.5773,0.706624,19.2142638
,4.89E-01,2.79E-01,1.65E+00,3.20E+00,0.819075,20.34897497,80.6424,13.4409,0.706279,19.03062532
,4.89E-01,2.79E-01,1.65E+00,3.35E+00,0.8193,20.46978665,80.6446,13.5248,0.706491,19.14367128
,4.89E-01,2.79E-01,1.65E+00,3.50E+00,0.819436,20.5421773,80.6463,13.5752,0.706619,19.21146599
,4.89E-01,2.89E-01,1.65E+00,3.20E+00,0.819059,20.34079914,80.6422,13.4352,0.706264,19.022962
,4.89E-01,2.89E-01,1.65E+00,3.35E+00,0.819291,20.46487273,80.6444,13.5214,0.706482,19.13906422
,4.89E-01,2.89E-01,1.65E+00,3.50E+00,0.81943,20.53923857,80.6462,13.5731,0.706614,19.20871052
,3.50E-01,2.07E-01,1.55E+00,3.20E+00,0.805133,21.38668926,80.7138,13.8982,0.695819,19.97390495
,3.50E-01,2.19E-01,1.55E+00,3.20E+00,0.805111,21.37697291,80.7143,13.8916,0.695807,19.96474193
,3.50E-01,2.30E-01,1.55E+00,3.20E+00,0.80509,21.36746098,80.7148,13.8851,0.695796,19.95576991
,3.61E-01,1.50E-01,1.55E+00,3.20E+00,0.807641,21.63522387,80.6289,14.0887,0.696981,20.21386821
,3.61E-01,1.61E-01,1.55E+00,3.20E+00,0.807615,21.62435502,80.6296,14.0813,0.696968,20.20363329
,3.61E-01,1.73E-01,1.55E+00,3.20E+00,0.807591,21.613722,80.6303,14.074,0.696955,20.19361848
,3.61E-01,1.84E-01,1.55E+00,3.20E+00,0.807567,21.60331828,80.6309,14.067,0.696942,20.18381775
,3.61E-01,1.96E-01,1.55E+00,3.20E+00,0.807543,21.59313759,80.6315,14.06,0.69693,20.17422529
,3.61E-01,2.07E-01,1.55E+00,3.20E+00,0.80752,21.58317388,80.6321,14.0532,0.696918,20.16483549
,3.61E-01,2.19E-01,1.55E+00,3.20E+00,0.807497,21.57342133,80.6326,14.0466,0.696906,20.15564299
,3.61E-01,2.30E-01,1.55E+00,3.20E+00,0.807475,21.56387435,80.6332,14.0401,0.696894,20.14664258
,3.71E-01,1.50E-01,1.55E+00,3.20E+00,0.810089,21.82189251,80.5385,14.2373,0.698099,20.39442444
,3.71E-01,1.61E-01,1.55E+00,3.20E+00,0.810062,21.81098575,80.5392,14.2299,0.698085,20.3841591
,3.71E-01,1.73E-01,1.55E+00,3.20E+00,0.810037,21.80031604,80.54,14.2226,0.698072,20.37411504
,3.71E-01,1.84E-01,1.55E+00,3.20E+00,0.810011,21.7898768,80.5407,14.2155,0.698059,20.3642862
,3.71E-01,1.96E-01,1.55E+00,3.20E+00,0.809987,21.77966174,80.5413,14.2085,0.698046,20.3546667
,3.71E-01,2.07E-01,1.55E+00,3.20E+00,0.809963,21.76966474,80.542,14.2017,0.698033,20.34525091
,3.71E-01,2.19E-01,1.55E+00,3.20E+00,0.809939,21.75987995,80.5426,14.195,0.698021,20.3360334
,3.71E-01,2.30E-01,1.55E+00,3.20E+00,0.809916,21.75030176,80.5432,14.1884,0.698009,20.32700895
,3.82E-01,1.50E-01,1.55E+00,3.20E+00,0.812593,21.9991464,80.4401,14.3798,0.699233,20.56504198
,3.82E-01,1.61E-01,1.55E+00,3.20E+00,0.812566,21.98820589,80.4409,14.3723,0.699219,20.55475099
,3.82E-01,1.73E-01,1.55E+00,3.20E+00,0.812539,21.9775035,80.4417,14.3649,0.699205,20.54468229
,3.82E-01,1.84E-01,1.55E+00,3.20E+00,0.812513,21.96703264,80.4425,14.3578,0.699191,20.53482978
,3.82E-01,1.96E-01,1.55E+00,3.20E+00,0.812487,21.95678696,80.4433,14.3508,0.699178,20.52518756
,3.82E-01,2.07E-01,1.55E+00,3.20E+00,0.812462,21.94676032,80.444,14.3439,0.699165,20.51574993
,3.82E-01,2.19E-01,1.55E+00,3.20E+00,0.812437,21.93694683,80.4447,14.3372,0.699152,20.50651147
,3.82E-01,2.30E-01,1.55E+00,3.20E+00,0.812413,21.92734084,80.4454,14.3306,0.699139,20.49746688
,3.93E-01,1.50E-01,1.55E+00,3.20E+00,0.815154,22.16754572,80.3341,14.5163,0.700383,20.72628202
,3.93E-01,1.61E-01,1.55E+00,3.20E+00,0.815125,22.15657515,80.335,14.5088,0.700369,20.71596966
,3.93E-01,1.73E-01,1.55E+00,3.20E+00,0.815098,22.14584366,80.3359,14.5015,0.700354,20.70588046
,3.93E-01,1.84E-01,1.55E+00,3.20E+00,0.81507,22.13534464,80.3368,14.4942,0.70034,20.69600829
,3.93E-01,1.96E-01,1.55E+00,3.20E+00,0.815044,22.1250717,80.3376,14.4872,0.700326,20.68634722
,3.93E-01,2.07E-01,1.55E+00,3.20E+00,0.815017,22.11501865,80.3384,14.4803,0.700313,20.67689152
,3.93E-01,2.19E-01,1.55E+00,3.20E+00,0.814992,22.10517958,80.3391,14.4735,0.700299,20.66763572
,3.93E-01,2.30E-01,1.55E+00,3.20E+00,0.814967,22.09554883,80.3399,14.4669,0.700286,20.65857452
,4.04E-01,1.50E-01,1.55E+00,3.20E+00,0.817771,22.32761296,80.2209,14.6474,0.70155,20.8786687
