Ref_publication_date,Ref_journal,Cell_stack_sequence,Cell_area_measured,ETL_deposition_procedure,Perovskite_deposition_procedure,HTL_deposition_procedure
17/06/2019,Solar RRL,SLG | FTO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,4,CBD,Spin-coating,Spin-coating
17/09/2019,Energy Technology,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Carbon,5.2,Spray-pyrolys | Spin-coating,Spin-coating,Unknown
09/08/2019,Nano Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,1.35,CBD,Spin-coating,Spin-coating
09/08/2019,Nano Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,1.35,CBD,Spin-coating,Spin-coating
09/08/2019,Nano Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,1.26,CBD,Spin-coating,Spin-coating
09/08/2019,Nano Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,1.26,CBD,Spin-coating,Spin-coating
13/12/2018,Advanced Functional Materials,SLG | ITO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,3.8,Sputtering,Spin-coating,Spin-coating
13/12/2018,Advanced Functional Materials,SLG | ITO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,3.8,Sputtering,Spin-coating,Spin-coating
28/11/2017,Journal of Materials Chemistry A,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,2.5,Spray-pyrolys | Spin-coating,Spin-coating >> CBD,Spin-coating
28/11/2017,Journal of Materials Chemistry A,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | P3HT | Au,2.5,Spray-pyrolys | Spin-coating,Spin-coating >> CBD,Spin-coating
01/09/2018,Nano Energy,SLG | FTO | TiO2-c | SnO2-np | Perovskite | Spiro-MeOTAD | Au,3.2,Spray-pyrolys | Spin-coating,Spin-coating,Spin-coating
03/05/2019,Energy & Environmental Science,PET | Al2O3 | Ti | C60 | Perovskite | NiO-c | Ni | Al2O3 | PET,9.6,Evaporation | Evaporation,Spin-coating,Evaporation | Evaporation
03/05/2019,Energy & Environmental Science,PET | Al2O3 | Ti | C60 | Perovskite | NiO-c | Ni | Al2O3 | PET,7.75,Evaporation | Evaporation,Spin-coating,Evaporation | Evaporation
03/05/2019,Energy & Environmental Science,PET | Al2O3 | Ti | C60 | Perovskite | NiO-c | Ni | Al2O3 | PET,4,Evaporation | Evaporation,Spin-coating,Evaporation | Evaporation
03/05/2019,Energy & Environmental Science,PET | Al2O3 | Ti | C60 | Perovskite | NiO-c | Ni | Al2O3 | PET,6,Evaporation | Evaporation,Spin-coating,Evaporation | Evaporation
19/08/2017,Solar Energy Materials and Solar Cells,SLG | ITO | PEDOT:PSS | Perovskite | PCBM-60 | Ag,2.25,Spin-coating,Spin-coating,Spin-coating
01/06/2017,Nature Communications,SLG | FTO | TiO2-c | TiO2-mp | ZrO2-mp | Perovskite | Carbon,5.95,Spray-pyrolys | Screen printing | Screen printing,Drop-infiltration,Unknown
01/06/2017,Nature Communications,SLG | FTO | TiO2-c | TiO2-mp | ZrO2-mp | Perovskite | Carbon,5.95,Spray-pyrolys | Screen printing | Screen printing,Drop-infiltration,Unknown
01/06/2017,Nature Communications,SLG | FTO | TiO2-c | TiO2-mp | ZrO2-mp | Perovskite | Carbon,5.95,Spray-pyrolys | Screen printing | Screen printing,Drop-infiltration,Unknown
20/07/2018,Japanese Journal of Applied Physics,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,9.4,Sputtering | Spin-coating,Spin-coating,Spin-coating
20/07/2018,Japanese Journal of Applied Physics,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,9.4,Sputtering | Spin-coating,Spin-coating,Spin-coating
03/07/2019,Joule,PET | PEDOT:PSS | Perovskite | PCBM-60 | Ag,3.2,Spin-coating,Spin-coating,Spin-coating
18/09/2018,Nature Communications,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,2,Unknown,Spin-coating >> Gas reaction,Spin-coating
